County ID,Race,Race Code,Deaths,Births,Death Rate
33011,Black or African American,2054-5,20,1900,10.53
34001,Black or African American,2054-5,118,7219,16.35
34003,Black or African American,2054-5,55,8624,6.38
34005,Black or African American,2054-5,93,9149,10.17
34007,Black or African American,2054-5,253,16932,14.94
34013,Black or African American,2054-5,506,50396,10.04
34015,Black or African American,2054-5,58,3998,14.51
34017,Black or African American,2054-5,139,18556,7.49
34021,Black or African American,2054-5,195,12363,15.77
34023,Black or African American,2054-5,90,13514,6.66
34025,Black or African American,2054-5,56,6189,9.05
34029,Black or African American,2054-5,24,2597,9.24
34031,Black or African American,2054-5,94,14912,6.3
34035,Black or African American,2054-5,30,4063,7.38
34039,Black or African American,2054-5,133,17136,7.76
34999,Black or African American,2054-5,102,8468,12.05
35001,Black or African American,2054-5,29,2952,9.82
35999,Black or African American,2054-5,39,3523,11.07
36001,Black or African American,2054-5,103,6652,15.48
36005,Black or African American,2054-5,688,99613,6.91
36027,Black or African American,2054-5,45,3682,12.22
36029,Black or African American,2054-5,298,20621,14.45
36047,Black or African American,2054-5,982,129835,7.56
36055,Black or African American,2054-5,264,20167,13.09
36059,Black or African American,2054-5,193,19817,9.74
36061,Black or African American,2054-5,303,36123,8.39
36067,Black or African American,2054-5,128,10421,12.28
36071,Black or African American,2054-5,72,5794,12.43
36081,Black or African American,2054-5,464,60369,7.69
36085,Black or African American,2054-5,90,9113,9.88
36087,Black or African American,2054-5,59,5325,11.08
36103,Black or African American,2054-5,136,16448,8.27
36119,Black or African American,2054-5,180,19953,9.02
36999,Black or African American,2054-5,293,22612,12.96
37051,Black or African American,2054-5,298,21576,13.81
37063,Black or African American,2054-5,51,4879,10.45
37067,Black or African American,2054-5,213,14401,14.79
37081,Black or African American,2054-5,317,25419,12.47
37119,Black or African American,2054-5,498,48920,10.18
37183,Black or African American,2054-5,384,30851,12.45
37999,Black or African American,2054-5,2253,168683,13.36
38999,Black or African American,2054-5,31,3565,8.7
39017,Black or African American,2054-5,59,4996,11.81
39035,Black or African American,2054-5,903,61060,14.79
39049,Black or African American,2054-5,737,55749,13.22
39061,Black or African American,2054-5,612,38789,15.78
39093,Black or African American,2054-5,54,4692,11.51
39095,Black or African American,2054-5,187,15801,11.83
39099,Black or African American,2054-5,69,4593,15.02
39113,Black or African American,2054-5,237,18635,12.72
39151,Black or African American,2054-5,76,5029,15.11
39153,Black or African American,2054-5,170,13516,12.58
39999,Black or African American,2054-5,343,27184,12.62
40109,Black or African American,2054-5,288,23052,12.49
40143,Black or African American,2054-5,189,13379,14.13
40999,Black or African American,2054-5,178,14697,12.11
41051,Black or African American,2054-5,83,7991,10.39
42003,Black or African American,2054-5,396,27458,14.42
42011,Black or African American,2054-5,85,6105,13.92
42017,Black or African American,2054-5,39,4127,9.45
42029,Black or African American,2054-5,44,4686,9.39
42043,Black or African American,2054-5,122,9733,12.53
42045,Black or African American,2054-5,287,20197,14.21
42049,Black or African American,2054-5,67,4690,14.29
42071,Black or African American,2054-5,53,5376,9.86
42077,Black or African American,2054-5,66,6395,10.32
42079,Black or African American,2054-5,38,2832,13.42
42091,Black or African American,2054-5,116,10268,11.3
42095,Black or African American,2054-5,36,3017,11.93
42101,Black or African American,2054-5,1508,122812,12.28
42133,Black or African American,2054-5,59,5336,11.06
42999,Black or African American,2054-5,231,17739,13.02
44007,Black or African American,2054-5,123,12515,9.83
45019,Black or African American,2054-5,176,17080,10.3
45045,Black or African American,2054-5,163,14489,11.25
45079,Black or African American,2054-5,274,27033,10.14
45083,Black or African American,2054-5,77,9021,8.54
45999,Black or African American,2054-5,1486,123543,12.03
46999,Black or African American,2054-5,31,3029,10.23
47037,Black or African American,2054-5,344,31308,10.99
47065,Black or African American,2054-5,136,10607,12.82
47093,Black or African American,2054-5,68,5984,11.36
47157,Black or African American,2054-5,1205,86987,13.85
47999,Black or African American,2054-5,460,42631,10.79
48027,Black or African American,2054-5,45,5019,8.97
48029,Black or African American,2054-5,211,22861,9.23
48085,Black or African American,2054-5,76,10297,7.38
48113,Black or African American,2054-5,1055,89290,11.82
48121,Black or African American,2054-5,73,8775,8.32
48141,Black or African American,2054-5,49,4572,10.72
48157,Black or African American,2054-5,140,18569,7.54
48167,Black or African American,2054-5,52,5810,8.95
48201,Black or African American,2054-5,1452,140233,10.35
48245,Black or African American,2054-5,163,13316,12.24
48339,Black or African American,2054-5,29,3536,8.2
48439,Black or African American,2054-5,592,48154,12.29
48453,Black or African American,2054-5,146,14228,10.26
48999,Black or African American,2054-5,1120,106279,10.54
49035,Black or African American,2054-5,46,4381,10.5
49999,Black or African American,2054-5,20,1815,11.02
51041,Black or African American,2054-5,72,8589,8.38
51059,Black or African American,2054-5,130,16840,7.72
51087,Black or African American,2054-5,136,11635,11.69
51153,Black or African American,2054-5,145,14944,9.7
51810,Black or African American,2054-5,154,14636,10.52
51999,Black or African American,2054-5,2089,164026,12.74
53033,Black or African American,2054-5,184,24881,7.4
53053,Black or African American,2054-5,110,11356,9.69
53061,Black or African American,2054-5,33,4308,7.66
53999,Black or African American,2054-5,56,6785,8.25
54999,Black or African American,2054-5,86,7796,11.03
55025,Black or African American,2054-5,77,5380,14.31
55079,Black or African American,2054-5,731,52337,13.97
55999,Black or African American,2054-5,186,13585,13.69
