GEOID,Race,Death Rate
48121,Black or African American,8.32
48141,Black or African American,10.72
48157,Black or African American,7.54
48167,Black or African American,8.95
48201,Black or African American,10.35
48245,Black or African American,12.24
48303,Black or African American,8.06
48339,Black or African American,8.2
48355,Black or African American,7.39
48439,Black or African American,12.29
48453,Black or African American,10.26
48491,Black or African American,9.99
48999,Black or African American,10.54
49035,Black or African American,10.5
49999,Black or African American,11.02
51041,Black or African American,8.38
51059,Black or African American,7.72
51087,Black or African American,11.69
51107,Black or African American,7.29
51153,Black or African American,9.7
51810,Black or African American,10.52
51999,Black or African American,12.74
53033,Black or African American,7.4
53053,Black or African American,9.69
53061,Black or African American,7.66
53063,Black or African American,5.95
53999,Black or African American,8.25
54999,Black or African American,11.03
55025,Black or African American,14.31
55079,Black or African American,13.97
55999,Black or African American,13.69
56999,Black or African American,9.74
