Notes,County,Birth Weight,Death Rate
Total,"Sonoma County, CA",,2.82 (Unreliable)
Total,"Stanislaus County, CA",,5.34
,"Tulare County, CA",500 - 999 grams,285.71 (Unreliable)
Total,"Tulare County, CA",,6.44
Total,"Ventura County, CA",,2.81
,"Unidentified Counties, CA",499 grams or less,800
,"Unidentified Counties, CA",500 - 999 grams,283.02
,"Unidentified Counties, CA",1000 - 1499 grams,69.77 (Unreliable)
,"Unidentified Counties, CA",1500 - 1999 grams,44.20 (Unreliable)
,"Unidentified Counties, CA",2000 - 2499 grams,8.16 (Unreliable)
,"Unidentified Counties, CA",2500 - 2999 grams,3.60 (Unreliable)
,"Unidentified Counties, CA",3000 - 3499 grams,1.32 (Unreliable)
,"Unidentified Counties, CA",3500 - 3999 grams,1.15 (Unreliable)
Total,"Unidentified Counties, CA",,4.54
Total,"Adams County, CO",,5.7
,"Arapahoe County, CO",499 grams or less,1000.00 (Unreliable)
Total,"Arapahoe County, CO",,5.44
Total,"Boulder County, CO",,4.40 (Unreliable)
,"Denver County, CO",499 grams or less,923.08 (Unreliable)
,"Denver County, CO",500 - 999 grams,350.00 (Unreliable)
Total,"Denver County, CO",,5.1
,"El Paso County, CO",499 grams or less,750.00 (Unreliable)
Total,"El Paso County, CO",,5.58
Total,"Jefferson County, CO",,4.26
Total,"Weld County, CO",,5.34
,"Unidentified Counties, CO",500 - 999 grams,294.12 (Unreliable)
,"Unidentified Counties, CO",3000 - 3499 grams,2.35 (Unreliable)
Total,"Unidentified Counties, CO",,4.23
,"Fairfield County, CT",500 - 999 grams,238.10 (Unreliable)
Total,"Fairfield County, CT",,3.68
,"Hartford County, CT",499 grams or less,937.5
,"Hartford County, CT",500 - 999 grams,244.44 (Unreliable)
Total,"Hartford County, CT",,6.14
,"New Haven County, CT",499 grams or less,823.53 (Unreliable)
,"New Haven County, CT",500 - 999 grams,208.33 (Unreliable)
Total,"New Haven County, CT",,4.84
Total,"New London County, CT",,5.67 (Unreliable)
Total,"Unidentified Counties, CT",,3.82 (Unreliable)
,"New Castle County, DE",499 grams or less,952.38
,"New Castle County, DE",500 - 999 grams,368.42
Total,"New Castle County, DE",,9.54
Total,"Unidentified Counties, DE",,5.34
,"District of Columbia, DC",499 grams or less,857.14 (Unreliable)
,"District of Columbia, DC",500 - 999 grams,250.00 (Unreliable)
,"District of Columbia, DC",2500 - 2999 grams,5.46 (Unreliable)
Total,"District of Columbia, DC",,7.2
Total,"Brevard County, FL",,5.88
,"Broward County, FL",499 grams or less,857.14
,"Broward County, FL",500 - 999 grams,187.13
,"Broward County, FL",2500 - 2999 grams,2.58 (Unreliable)
,"Broward County, FL",3000 - 3499 grams,2.08 (Unreliable)
Total,"Broward County, FL",,5.41
Total,"Collier County, FL",,4.52 (Unreliable)
,"Duval County, FL",499 grams or less,853.66
,"Duval County, FL",500 - 999 grams,220
,"Duval County, FL",2500 - 2999 grams,5.12 (Unreliable)
,"Duval County, FL",3000 - 3499 grams,2.38 (Unreliable)
Total,"Duval County, FL",,8.2
Total,"Escambia County, FL",,8.57
,"Hillsborough County, FL",499 grams or less,940
,"Hillsborough County, FL",500 - 999 grams,270.27
,"Hillsborough County, FL",2500 - 2999 grams,3.02 (Unreliable)
,"Hillsborough County, FL",3000 - 3499 grams,1.77 (Unreliable)
Total,"Hillsborough County, FL",,7.16
Total,"Lake County, FL",,4.28 (Unreliable)
,"Lee County, FL",499 grams or less,857.14 (Unreliable)
Total,"Lee County, FL",,6.52
Total,"Leon County, FL",,5.35 (Unreliable)
Total,"Manatee County, FL",,6.39
,"Marion County, FL",499 grams or less,1000.00 (Unreliable)
Total,"Marion County, FL",,10.66
,"Miami-Dade County, FL",499 grams or less,888.89
,"Miami-Dade County, FL",500 - 999 grams,228.72
,"Miami-Dade County, FL",1500 - 1999 grams,22.81 (Unreliable)
,"Miami-Dade County, FL",2000 - 2499 grams,12.04
,"Miami-Dade County, FL",2500 - 2999 grams,2.72 (Unreliable)
,"Miami-Dade County, FL",3000 - 3499 grams,0.96 (Unreliable)
Total,"Miami-Dade County, FL",,5.17
,"Orange County, FL",499 grams or less,943.4
,"Orange County, FL",500 - 999 grams,231.58
,"Orange County, FL",2000 - 2499 grams,10.78 (Unreliable)
,"Orange County, FL",2500 - 2999 grams,4.86 (Unreliable)
Total,"Orange County, FL",,7.21
Total,"Osceola County, FL",,6.01
,"Palm Beach County, FL",499 grams or less,866.67 (Unreliable)
,"Palm Beach County, FL",500 - 999 grams,229.73 (Unreliable)
Total,"Palm Beach County, FL",,4.21
,"Pasco County, FL",500 - 999 grams,357.14 (Unreliable)
Total,"Pasco County, FL",,7.44
,"Pinellas County, FL",499 grams or less,1000.00 (Unreliable)
,"Pinellas County, FL",500 - 999 grams,260.00 (Unreliable)
,"Pinellas County, FL",2500 - 2999 grams,6.51 (Unreliable)
Total,"Pinellas County, FL",,6.13
,"Polk County, FL",499 grams or less,812.50 (Unreliable)
,"Polk County, FL",500 - 999 grams,203.70 (Unreliable)
,"Polk County, FL",1000 - 1499 grams,147.06 (Unreliable)
Total,"Polk County, FL",,7.05
Total,"St. Lucie County, FL",,6.00 (Unreliable)
Total,"Sarasota County, FL",,4.44 (Unreliable)
Total,"Seminole County, FL",,4.42
