Notes,County,Birth Weight,Death Rate
,"Hudson County, NJ",500 - 999 grams,200.00 (Unreliable)
Total,"Hudson County, NJ",,2.6
Total,"Mercer County, NJ",,5.61
Total,"Middlesex County, NJ",,3.43
Total,"Monmouth County, NJ",,3.52
Total,"Morris County, NJ",,3.02 (Unreliable)
Total,"Ocean County, NJ",,3.5
Total,"Passaic County, NJ",,2.92
Total,"Somerset County, NJ",,4.31 (Unreliable)
Total,"Union County, NJ",,3.4
,"Unidentified Counties, NJ",499 grams or less,1000.00 (Unreliable)
Total,"Unidentified Counties, NJ",,5.45
,"Bernalillo County, NM",500 - 999 grams,377.78 (Unreliable)
Total,"Bernalillo County, NM",,7
,"Unidentified Counties, NM",499 grams or less,703.70 (Unreliable)
,"Unidentified Counties, NM",500 - 999 grams,197.53 (Unreliable)
,"Unidentified Counties, NM",1500 - 1999 grams,33.78 (Unreliable)
,"Unidentified Counties, NM",2000 - 2499 grams,12.07 (Unreliable)
,"Unidentified Counties, NM",2500 - 2999 grams,3.44 (Unreliable)
,"Unidentified Counties, NM",3000 - 3499 grams,2.26 (Unreliable)
Total,"Unidentified Counties, NM",,5.78
Total,"Albany County, NY",,4.60 (Unreliable)
,"Bronx County, NY",500 - 999 grams,186.75
,"Bronx County, NY",1000 - 1499 grams,47.85 (Unreliable)
,"Bronx County, NY",2500 - 2999 grams,3.78 (Unreliable)
Total,"Bronx County, NY",,4.44
Total,"Dutchess County, NY",,5.16 (Unreliable)
,"Erie County, NY",499 grams or less,1000
,"Erie County, NY",500 - 999 grams,169.23 (Unreliable)
Total,"Erie County, NY",,6.86
,"Kings County, NY",499 grams or less,875
,"Kings County, NY",500 - 999 grams,235.02
,"Kings County, NY",1000 - 1499 grams,44.83 (Unreliable)
,"Kings County, NY",2000 - 2499 grams,6.38 (Unreliable)
,"Kings County, NY",2500 - 2999 grams,2.45
,"Kings County, NY",3000 - 3499 grams,1.15 (Unreliable)
Total,"Kings County, NY",,3.82
,"Monroe County, NY",499 grams or less,952.38
,"Monroe County, NY",500 - 999 grams,250.00 (Unreliable)
Total,"Monroe County, NY",,7.25
,"Nassau County, NY",500 - 999 grams,241.94 (Unreliable)
Total,"Nassau County, NY",,3
,"New York County, NY",500 - 999 grams,242.86 (Unreliable)
,"New York County, NY",3000 - 3499 grams,1.53 (Unreliable)
Total,"New York County, NY",,3.07
,"Onondaga County, NY",499 grams or less,1000.00 (Unreliable)
Total,"Onondaga County, NY",,7.82
Total,"Orange County, NY",,4.81
,"Queens County, NY",499 grams or less,945.95
,"Queens County, NY",500 - 999 grams,226.03
,"Queens County, NY",2000 - 2499 grams,6.64 (Unreliable)
,"Queens County, NY",3000 - 3499 grams,1.14 (Unreliable)
Total,"Queens County, NY",,3.85
Total,"Richmond County, NY",,3.29 (Unreliable)
Total,"Rockland County, NY",,3.68
,"Suffolk County, NY",499 grams or less,928.57 (Unreliable)
,"Suffolk County, NY",500 - 999 grams,283.58 (Unreliable)
,"Suffolk County, NY",1000 - 1499 grams,95.24 (Unreliable)
Total,"Suffolk County, NY",,4.43
,"Westchester County, NY",499 grams or less,846.15 (Unreliable)
Total,"Westchester County, NY",,3.4
,"Unidentified Counties, NY",499 grams or less,960
,"Unidentified Counties, NY",500 - 999 grams,255.32
,"Unidentified Counties, NY",1000 - 1499 grams,59.52 (Unreliable)
,"Unidentified Counties, NY",1500 - 1999 grams,28.37 (Unreliable)
,"Unidentified Counties, NY",2000 - 2499 grams,8.72 (Unreliable)
,"Unidentified Counties, NY",2500 - 2999 grams,5.41
,"Unidentified Counties, NY",3000 - 3499 grams,1.94
,"Unidentified Counties, NY",3500 - 3999 grams,1.29 (Unreliable)
Total,"Unidentified Counties, NY",,5.81
,"Cumberland County, NC",499 grams or less,1000
,"Cumberland County, NC",500 - 999 grams,309.52 (Unreliable)
Total,"Cumberland County, NC",,9.92
Total,"Durham County, NC",,5.98
,"Forsyth County, NC",500 - 999 grams,423.08 (Unreliable)
Total,"Forsyth County, NC",,9.56
,"Guilford County, NC",499 grams or less,904.76 (Unreliable)
,"Guilford County, NC",500 - 999 grams,485.71 (Unreliable)
Total,"Guilford County, NC",,7.99
,"Mecklenburg County, NC",499 grams or less,756.76
,"Mecklenburg County, NC",500 - 999 grams,260.42
,"Mecklenburg County, NC",2500 - 2999 grams,3.77 (Unreliable)
,"Mecklenburg County, NC",3000 - 3499 grams,2.09 (Unreliable)
Total,"Mecklenburg County, NC",,6.72
,"Wake County, NC",499 grams or less,942.86
,"Wake County, NC",500 - 999 grams,189.66 (Unreliable)
Total,"Wake County, NC",,5.61
,"Unidentified Counties, NC",499 grams or less,899.33
,"Unidentified Counties, NC",500 - 999 grams,211.07
,"Unidentified Counties, NC",1000 - 1499 grams,42.74
,"Unidentified Counties, NC",1500 - 1999 grams,28.93
,"Unidentified Counties, NC",2000 - 2499 grams,10.96
,"Unidentified Counties, NC",2500 - 2999 grams,5.21
,"Unidentified Counties, NC",3000 - 3499 grams,2.58
,"Unidentified Counties, NC",3500 - 3999 grams,1.58
Total,"Unidentified Counties, NC",,7.3
,"Unidentified Counties, ND",499 grams or less,882.35 (Unreliable)
,"Unidentified Counties, ND",500 - 999 grams,250.00 (Unreliable)
,"Unidentified Counties, ND",2500 - 2999 grams,6.48 (Unreliable)
Total,"Unidentified Counties, ND",,6.41
Total,"Butler County, OH",,5.84
,"Cuyahoga County, OH",499 grams or less,950
,"Cuyahoga County, OH",500 - 999 grams,218.98
,"Cuyahoga County, OH",2500 - 2999 grams,5.73 (Unreliable)
,"Cuyahoga County, OH",3000 - 3499 grams,1.76 (Unreliable)
Total,"Cuyahoga County, OH",,8.4
,"Franklin County, OH",499 grams or less,960
,"Franklin County, OH",500 - 999 grams,282.26
,"Franklin County, OH",1000 - 1499 grams,58.54 (Unreliable)
,"Franklin County, OH",2000 - 2499 grams,11.70 (Unreliable)
,"Franklin County, OH",2500 - 2999 grams,6.27
,"Franklin County, OH",3000 - 3499 grams,1.79 (Unreliable)
Total,"Franklin County, OH",,8.61
,"Hamilton County, OH",499 grams or less,909.09
,"Hamilton County, OH",500 - 999 grams,333.33
,"Hamilton County, OH",2000 - 2499 grams,16.92 (Unreliable)
,"Hamilton County, OH",2500 - 2999 grams,5.13 (Unreliable)
Total,"Hamilton County, OH",,9.52
Total,"Lorain County, OH",,5.16 (Unreliable)
,"Lucas County, OH",499 grams or less,937.50 (Unreliable)
Total,"Lucas County, OH",,6.58
,"Montgomery County, OH",499 grams or less,1066.67 (Unreliable)
,"Montgomery County, OH",500 - 999 grams,261.90 (Unreliable)
Total,"Montgomery County, OH",,6.64
,"Stark County, OH",500 - 999 grams,481.48 (Unreliable)
Total,"Stark County, OH",,9.21
,"Summit County, OH",499 grams or less,1000.00 (Unreliable)
,"Summit County, OH",500 - 999 grams,217.39 (Unreliable)
Total,"Summit County, OH",,7.67
,"Unidentified Counties, OH",499 grams or less,943.82
,"Unidentified Counties, OH",500 - 999 grams,260.42
,"Unidentified Counties, OH",1000 - 1499 grams,55.93
,"Unidentified Counties, OH",1500 - 1999 grams,31.91
,"Unidentified Counties, OH",2000 - 2499 grams,11.8
,"Unidentified Counties, OH",2500 - 2999 grams,4.95
,"Unidentified Counties, OH",3000 - 3499 grams,2.97
,"Unidentified Counties, OH",3500 - 3999 grams,1.5
,"Unidentified Counties, OH",4000 - 4499 grams,2.02 (Unreliable)
Total,"Unidentified Counties, OH",,6.71
Total,"Cleveland County, OK",,3.98 (Unreliable)
,"Oklahoma County, OK",499 grams or less,1000.00 (Unreliable)
,"Oklahoma County, OK",500 - 999 grams,369.86
,"Oklahoma County, OK",2000 - 2499 grams,14.84 (Unreliable)
,"Oklahoma County, OK",2500 - 2999 grams,7.61 (Unreliable)
,"Oklahoma County, OK",3000 - 3499 grams,2.55 (Unreliable)
Total,"Oklahoma County, OK",,8.12
,"Tulsa County, OK",499 grams or less,866.67
,"Tulsa County, OK",500 - 999 grams,333.33 (Unreliable)
,"Tulsa County, OK",2500 - 2999 grams,6.66 (Unreliable)
,"Tulsa County, OK",3000 - 3499 grams,3.74 (Unreliable)
Total,"Tulsa County, OK",,8.92
,"Unidentified Counties, OK",499 grams or less,795.92
,"Unidentified Counties, OK",500 - 999 grams,267.24
,"Unidentified Counties, OK",1000 - 1499 grams,66.67 (Unreliable)
,"Unidentified Counties, OK",2000 - 2499 grams,16.67
,"Unidentified Counties, OK",2500 - 2999 grams,5.59
,"Unidentified Counties, OK",3000 - 3499 grams,2.7
,"Unidentified Counties, OK",3500 - 3999 grams,2.12 (Unreliable)
Total,"Unidentified Counties, OK",,7.07
Total,"Clackamas County, OR",,3.57 (Unreliable)
Total,"Lane County, OR",,3.94 (Unreliable)
Total,"Marion County, OR",,4.63
,"Multnomah County, OR",500 - 999 grams,428.57 (Unreliable)
Total,"Multnomah County, OR",,4.96
Total,"Washington County, OR",,3.44
,"Unidentified Counties, OR",499 grams or less,954.55
,"Unidentified Counties, OR",500 - 999 grams,393.44
,"Unidentified Counties, OR",2500 - 2999 grams,5.14 (Unreliable)
,"Unidentified Counties, OR",3000 - 3499 grams,2.29 (Unreliable)
Total,"Unidentified Counties, OR",,5.53
,"Allegheny County, PA",499 grams or less,1000
,"Allegheny County, PA",500 - 999 grams,274.19 (Unreliable)
,"Allegheny County, PA",3000 - 3499 grams,2.29 (Unreliable)
Total,"Allegheny County, PA",,5.85
Total,"Berks County, PA",,6.48
Total,"Bucks County, PA",,2.85 (Unreliable)
,"Chester County, PA",499 grams or less,1000.00 (Unreliable)
Total,"Chester County, PA",,5.07
Total,"Dauphin County, PA",,7.56
,"Delaware County, PA",499 grams or less,941.18 (Unreliable)
,"Delaware County, PA",500 - 999 grams,243.90 (Unreliable)
Total,"Delaware County, PA",,6.84
Total,"Erie County, PA",,6.85
,"Lancaster County, PA",499 grams or less,1000.00 (Unreliable)
Total,"Lancaster County, PA",,5.86
,"Lehigh County, PA",499 grams or less,1000.00 (Unreliable)
Total,"Lehigh County, PA",,6.58
Total,"Luzerne County, PA",,6.58
,"Montgomery County, PA",499 grams or less,1000.00 (Unreliable)
Total,"Montgomery County, PA",,4.83
Total,"Northampton County, PA",,3.89 (Unreliable)
,"Philadelphia County, PA",499 grams or less,888.89
,"Philadelphia County, PA",500 - 999 grams,201.15
,"Philadelphia County, PA",2000 - 2499 grams,8.39 (Unreliable)
,"Philadelphia County, PA",2500 - 2999 grams,4.71
,"Philadelphia County, PA",3000 - 3499 grams,2.29 (Unreliable)
Total,"Philadelphia County, PA",,8.32
Total,"Westmoreland County, PA",,6.81
,"York County, PA",500 - 999 grams,352.94 (Unreliable)
Total,"York County, PA",,6.63
,"Unidentified Counties, PA",499 grams or less,938.46
,"Unidentified Counties, PA",500 - 999 grams,273.89
,"Unidentified Counties, PA",1000 - 1499 grams,43.48 (Unreliable)
,"Unidentified Counties, PA",1500 - 1999 grams,36.84
,"Unidentified Counties, PA",2000 - 2499 grams,8.23 (Unreliable)
,"Unidentified Counties, PA",2500 - 2999 grams,2.39 (Unreliable)
,"Unidentified Counties, PA",3000 - 3499 grams,2.39
,"Unidentified Counties, PA",3500 - 3999 grams,1.86
Total,"Unidentified Counties, PA",,5.71
,"Providence County, RI",499 grams or less,944.44 (Unreliable)
,"Providence County, RI",500 - 999 grams,333.33 (Unreliable)
Total,"Providence County, RI",,6.6
Total,"Unidentified Counties, RI",,3.41 (Unreliable)
Total,"Charleston County, SC",,5.18
Total,"Greenville County, SC",,5.24
Total,"Horry County, SC",,8.98
Total,"Lexington County, SC",,7.05
Total,"Richland County, SC",,7.9
Total,"Spartanburg County, SC",,4.88 (Unreliable)
,"Unidentified Counties, SC",499 grams or less,828.12
,"Unidentified Counties, SC",500 - 999 grams,268.87
,"Unidentified Counties, SC",1000 - 1499 grams,55.92 (Unreliable)
,"Unidentified Counties, SC",1500 - 1999 grams,25.52 (Unreliable)
,"Unidentified Counties, SC",2000 - 2499 grams,8.57 (Unreliable)
,"Unidentified Counties, SC",2500 - 2999 grams,5.96
,"Unidentified Counties, SC",3000 - 3499 grams,2.09
,"Unidentified Counties, SC",3500 - 3999 grams,1.42 (Unreliable)
Total,"Unidentified Counties, SC",,7.58
,"Unidentified Counties, SD",500 - 999 grams,261.90 (Unreliable)
,"Unidentified Counties, SD",3000 - 3499 grams,2.87 (Unreliable)
Total,"Unidentified Counties, SD",,4.89
,"Davidson County, TN",499 grams or less,833.33 (Unreliable)
,"Davidson County, TN",500 - 999 grams,347.22
,"Davidson County, TN",3000 - 3499 grams,2.95 (Unreliable)
Total,"Davidson County, TN",,7.28
Total,"Hamilton County, TN",,7.92
Total,"Knox County, TN",,5.69
Total,"Rutherford County, TN",,7.02
,"Shelby County, TN",499 grams or less,709.68
,"Shelby County, TN",500 - 999 grams,323.23
,"Shelby County, TN",1000 - 1499 grams,52.91 (Unreliable)
,"Shelby County, TN",1500 - 1999 grams,31.45 (Unreliable)
,"Shelby County, TN",2500 - 2999 grams,4.30 (Unreliable)
,"Shelby County, TN",3000 - 3499 grams,4.1
Total,"Shelby County, TN",,9.22
,"Unidentified Counties, TN",499 grams or less,790.32
,"Unidentified Counties, TN",500 - 999 grams,307.69
,"Unidentified Counties, TN",1000 - 1499 grams,42.90 (Unreliable)
,"Unidentified Counties, TN",1500 - 1999 grams,31.41
,"Unidentified Counties, TN",2000 - 2499 grams,11.42
,"Unidentified Counties, TN",2500 - 2999 grams,5.5
,"Unidentified Counties, TN",3000 - 3499 grams,2.83
,"Unidentified Counties, TN",3500 - 3999 grams,2.4
Total,"Unidentified Counties, TN",,6.95
,"Bell County, TX",499 grams or less,833.33 (Unreliable)
,"Bell County, TX",500 - 999 grams,224.49 (Unreliable)
Total,"Bell County, TX",,6.68
,"Bexar County, TX",499 grams or less,849.06
,"Bexar County, TX",500 - 999 grams,186.21
,"Bexar County, TX",1000 - 1499 grams,46.73 (Unreliable)
,"Bexar County, TX",1500 - 1999 grams,35.12 (Unreliable)
,"Bexar County, TX",2000 - 2499 grams,14.03
,"Bexar County, TX",2500 - 2999 grams,2.82 (Unreliable)
,"Bexar County, TX",3000 - 3499 grams,2.13
,"Bexar County, TX",3500 - 3999 grams,1.47 (Unreliable)
Total,"Bexar County, TX",,6.36
Total,"Brazoria County, TX",,4.58
Total,"Cameron County, TX",,5.37
,"Collin County, TX",500 - 999 grams,224.49 (Unreliable)
Total,"Collin County, TX",,4.33
,"Dallas County, TX",499 grams or less,785.71
,"Dallas County, TX",500 - 999 grams,180.18
,"Dallas County, TX",1000 - 1499 grams,61.29 (Unreliable)
,"Dallas County, TX",2000 - 2499 grams,12.63
,"Dallas County, TX",2500 - 2999 grams,3.77
,"Dallas County, TX",3000 - 3499 grams,1.85
,"Dallas County, TX",3500 - 3999 grams,1.76 (Unreliable)
Total,"Dallas County, TX",,5.75
,"Denton County, TX",500 - 999 grams,196.72 (Unreliable)
Total,"Denton County, TX",,4.71
,"El Paso County, TX",500 - 999 grams,148.65 (Unreliable)
,"El Paso County, TX",3000 - 3499 grams,1.76 (Unreliable)
Total,"El Paso County, TX",,4.13
,"Fort Bend County, TX",500 - 999 grams,240.74 (Unreliable)
Total,"Fort Bend County, TX",,5.11
Total,"Galveston County, TX",,5.76
,"Harris County, TX",499 grams or less,683.82
,"Harris County, TX",500 - 999 grams,233.12
,"Harris County, TX",1000 - 1499 grams,42.33
,"Harris County, TX",1500 - 1999 grams,18.85
,"Harris County, TX",2000 - 2499 grams,8.59
,"Harris County, TX",2500 - 2999 grams,3.08
,"Harris County, TX",3000 - 3499 grams,2
,"Harris County, TX",3500 - 3999 grams,1.95
,"Harris County, TX",4000 - 4499 grams,3.59 (Unreliable)
Total,"Harris County, TX",,5.98
,"Hidalgo County, TX",499 grams or less,666.67 (Unreliable)
,"Hidalgo County, TX",500 - 999 grams,200.00 (Unreliable)
,"Hidalgo County, TX",2000 - 2499 grams,11.85 (Unreliable)
,"Hidalgo County, TX",2500 - 2999 grams,3.11 (Unreliable)
Total,"Hidalgo County, TX",,4.74
,"Jefferson County, TX",500 - 999 grams,379.31 (Unreliable)
Total,"Jefferson County, TX",,10.06
Total,"Lubbock County, TX",,6.32
,"Montgomery County, TX",500 - 999 grams,292.68 (Unreliable)
Total,"Montgomery County, TX",,6.4
Total,"Nueces County, TX",,5.91
,"Tarrant County, TX",499 grams or less,783.33
,"Tarrant County, TX",500 - 999 grams,260.36
,"Tarrant County, TX",1500 - 1999 grams,24.07 (Unreliable)
,"Tarrant County, TX",2000 - 2499 grams,10.58 (Unreliable)
,"Tarrant County, TX",2500 - 2999 grams,3.9
,"Tarrant County, TX",3000 - 3499 grams,1.78
Total,"Tarrant County, TX",,6.23
,"Travis County, TX",499 grams or less,548.39 (Unreliable)
,"Travis County, TX",3000 - 3499 grams,1.75 (Unreliable)
Total,"Travis County, TX",,3.75
Total,"Webb County, TX",,4.05
Total,"Williamson County, TX",,5.97
,"Unidentified Counties, TX",499 grams or less,631.02
,"Unidentified Counties, TX",500 - 999 grams,243.9
,"Unidentified Counties, TX",1000 - 1499 grams,47.55
,"Unidentified Counties, TX",1500 - 1999 grams,31.27
,"Unidentified Counties, TX",2000 - 2499 grams,11.18
,"Unidentified Counties, TX",2500 - 2999 grams,3.78
,"Unidentified Counties, TX",3000 - 3499 grams,2.25
,"Unidentified Counties, TX",3500 - 3999 grams,1.56
,"Unidentified Counties, TX",4000 - 4499 grams,2.60 (Unreliable)
Total,"Unidentified Counties, TX",,6.03
Total,"Davis County, UT",,3.69
,"Salt Lake County, UT",499 grams or less,913.04
,"Salt Lake County, UT",500 - 999 grams,365.38 (Unreliable)
,"Salt Lake County, UT",1000 - 1499 grams,75.76 (Unreliable)
,"Salt Lake County, UT",2500 - 2999 grams,4.72 (Unreliable)
,"Salt Lake County, UT",3000 - 3499 grams,2.38 (Unreliable)
Total,"Salt Lake County, UT",,5.56
,"Utah County, UT",499 grams or less,1000
,"Utah County, UT",500 - 999 grams,222.22 (Unreliable)
,"Utah County, UT",2500 - 2999 grams,6.35 (Unreliable)
,"Utah County, UT",3000 - 3499 grams,2.29 (Unreliable)
Total,"Utah County, UT",,6.68
,"Unidentified Counties, UT",499 grams or less,1000.00 (Unreliable)
,"Unidentified Counties, UT",500 - 999 grams,210.53 (Unreliable)
,"Unidentified Counties, UT",2500 - 2999 grams,4.01 (Unreliable)
,"Unidentified Counties, UT",3000 - 3499 grams,1.80 (Unreliable)
Total,"Unidentified Counties, UT",,4.87
Total,"Unidentified Counties, VT",,3.47
Total,"Chesterfield County, VA",,6.44
,"Fairfax County, VA",499 grams or less,947.37 (Unreliable)
,"Fairfax County, VA",500 - 999 grams,186.44 (Unreliable)
Total,"Fairfax County, VA",,3.99
Total,"Henrico County, VA",,7.17
Total,"Loudoun County, VA",,3.94
Total,"Prince William County, VA",,3.65
,"Virginia Beach city, VA",499 grams or less,611.11 (Unreliable)
Total,"Virginia Beach city, VA",,5.4
,"Unidentified Counties, VA",499 grams or less,772.28
,"Unidentified Counties, VA",500 - 999 grams,243.46
,"Unidentified Counties, VA",1000 - 1499 grams,32.79 (Unreliable)
,"Unidentified Counties, VA",1500 - 1999 grams,23.52
,"Unidentified Counties, VA",2000 - 2499 grams,11.95
,"Unidentified Counties, VA",2500 - 2999 grams,4.24
,"Unidentified Counties, VA",3000 - 3499 grams,2.57
,"Unidentified Counties, VA",3500 - 3999 grams,2.22
Total,"Unidentified Counties, VA",,6.59
Total,"Clark County, WA",,4.59
,"King County, WA",499 grams or less,1000
,"King County, WA",500 - 999 grams,293.33
,"King County, WA",3000 - 3499 grams,1.10 (Unreliable)
Total,"King County, WA",,3.8
,"Pierce County, WA",500 - 999 grams,261.90 (Unreliable)
Total,"Pierce County, WA",,4.08
,"Snohomish County, WA",500 - 999 grams,277.78 (Unreliable)
,"Snohomish County, WA",3000 - 3499 grams,2.96 (Unreliable)
Total,"Snohomish County, WA",,4.98
Total,"Spokane County, WA",,3.58
Total,"Thurston County, WA",,4.68 (Unreliable)
,"Unidentified Counties, WA",499 grams or less,833.33 (Unreliable)
,"Unidentified Counties, WA",500 - 999 grams,308.64
,"Unidentified Counties, WA",1500 - 1999 grams,30.21 (Unreliable)
,"Unidentified Counties, WA",2000 - 2499 grams,14.71 (Unreliable)
,"Unidentified Counties, WA",2500 - 2999 grams,4.93 (Unreliable)
,"Unidentified Counties, WA",3000 - 3499 grams,2.29
Total,"Unidentified Counties, WA",,4.93
,"Unidentified Counties, WV",499 grams or less,928.57
,"Unidentified Counties, WV",500 - 999 grams,288.89
,"Unidentified Counties, WV",1000 - 1499 grams,75.95 (Unreliable)
,"Unidentified Counties, WV",2000 - 2499 grams,16.56
,"Unidentified Counties, WV",2500 - 2999 grams,4.34 (Unreliable)
,"Unidentified Counties, WV",3000 - 3499 grams,2.65 (Unreliable)
,"Unidentified Counties, WV",3500 - 3999 grams,2.03 (Unreliable)
Total,"Unidentified Counties, WV",,7.23
,"Dane County, WI",500 - 999 grams,333.33 (Unreliable)
Total,"Dane County, WI",,6.61
,"Milwaukee County, WI",499 grams or less,878.05
,"Milwaukee County, WI",500 - 999 grams,212.77
,"Milwaukee County, WI",2500 - 2999 grams,4.82 (Unreliable)
Total,"Milwaukee County, WI",,7.69
Total,"Waukesha County, WI",,2.99 (Unreliable)
,"Unidentified Counties, WI",499 grams or less,940
,"Unidentified Counties, WI",500 - 999 grams,374.15
,"Unidentified Counties, WI",1000 - 1499 grams,76.63
,"Unidentified Counties, WI",1500 - 1999 grams,36.85
,"Unidentified Counties, WI",2000 - 2499 grams,10.41 (Unreliable)
,"Unidentified Counties, WI",2500 - 2999 grams,4.54
,"Unidentified Counties, WI",3000 - 3499 grams,2.3
,"Unidentified Counties, WI",3500 - 3999 grams,1.83
Total,"Unidentified Counties, WI",,6.13
Total,"Unidentified Counties, WY",,5.01
Total,,,5.87
