USPS,GEOID,NAME,INTPTLAT,INTPTLONG
VA,51740,Portsmouth city,36.859623,-76.356307
VA,51750,Radford city,37.120119,-80.559147
VA,51760,Richmond city,37.531399,-77.476009
VA,51770,Roanoke city,37.278458,-79.958174
VA,51775,Salem city,37.285333,-80.055241
VA,51790,Staunton city,38.158056,-79.061501
VA,51800,Suffolk city,36.697157,-76.634781
VA,51810,Virginia Beach city,36.779985,-76.025209
VA,51820,Waynesboro city,38.067157,-78.90142
VA,51830,Williamsburg city,37.269481,-76.708193
VA,51840,Winchester city,39.173869,-78.176356
WA,53001,Adams County,47.011238,-118.512861
WA,53003,Asotin County,46.181861,-117.227781
WA,53005,Benton County,46.228125,-119.516659
WA,53007,Chelan County,47.860974,-120.619041
WA,53009,Clallam County,48.110903,-123.88986
WA,53011,Clark County,45.771674,-122.485903
WA,53013,Columbia County,46.29285,-117.911634
WA,53015,Cowlitz County,46.196785,-122.67846
WA,53017,Douglas County,47.741763,-119.694622
WA,53019,Ferry County,48.473256,-118.533589
WA,53021,Franklin County,46.53458,-118.906944
WA,53023,Garfield County,46.429478,-117.536711
WA,53025,Grant County,47.213633,-119.467788
WA,53027,Grays Harbor County,47.113999,-123.826655
WA,53029,Island County,48.158554,-122.670649
WA,53031,Jefferson County,47.805346,-123.527136
WA,53033,King County,47.490599,-121.833996
WA,53035,Kitsap County,47.639687,-122.649636
WA,53037,Kittitas County,47.124444,-120.676714
WA,53039,Klickitat County,45.870446,-120.779305
WA,53041,Lewis County,46.580071,-122.377444
WA,53043,Lincoln County,47.582743,-118.417692
WA,53045,Mason County,47.354126,-123.17385
WA,53047,Okanogan County,48.548453,-119.742235
WA,53049,Pacific County,46.556587,-123.782419
WA,53051,Pend Oreille County,48.543825,-117.232191
WA,53053,Pierce County,47.051415,-122.153242
WA,53055,San Juan County,48.50719,-123.103769
WA,53057,Skagit County,48.493292,-121.81577
WA,53059,Skamania County,46.024782,-121.953227
WA,53061,Snohomish County,48.070464,-121.936784
WA,53063,Spokane County,47.620375,-117.403371
WA,53065,Stevens County,48.388727,-117.854454
WA,53067,Thurston County,46.935822,-122.830152
WA,53069,Wahkiakum County,46.294638,-123.424458
WA,53071,Walla Walla County,46.254606,-118.480374
WA,53073,Whatcom County,48.842653,-121.836432
WA,53075,Whitman County,46.905944,-117.53539
WA,53077,Yakima County,46.456558,-120.740145
WV,54001,Barbour County,39.139725,-79.996947
