County,Education,Death Rate
"Seminole County, FL","Bachelor's degree (BA, AB, BS)",4.55
"Seminole County, FL","Master's degree (MA, MS)",4.14
"Seminole County, FL",Unknown/Not on certificate,40
"Volusia County, FL",9th through 12th grade with no diploma,7.6
"Volusia County, FL",High school graduate or GED completed,8.51
"Volusia County, FL","Some college credit, but not a degree",5.18
"Volusia County, FL","Associate degree (AA, AS)",6.37
"Volusia County, FL","Bachelor's degree (BA, AB, BS)",3.09
"Unidentified Counties, FL",8th grade or less,7.28
"Unidentified Counties, FL",9th through 12th grade with no diploma,9.82
"Unidentified Counties, FL",High school graduate or GED completed,7.67
"Unidentified Counties, FL","Some college credit, but not a degree",6.11
"Unidentified Counties, FL","Associate degree (AA, AS)",4.77
"Unidentified Counties, FL","Bachelor's degree (BA, AB, BS)",4.21
"Unidentified Counties, FL","Master's degree (MA, MS)",3.52
"Unidentified Counties, FL","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4.15
"Unidentified Counties, FL",Unknown/Not on certificate,19.23
"Chatham County, GA",9th through 12th grade with no diploma,15.61
"Chatham County, GA",High school graduate or GED completed,11.97
"Chatham County, GA","Some college credit, but not a degree",6.08
"Chatham County, GA","Bachelor's degree (BA, AB, BS)",4.77
"Clayton County, GA",9th through 12th grade with no diploma,8.56
"Clayton County, GA",High school graduate or GED completed,12.53
"Clayton County, GA","Some college credit, but not a degree",7.49
"Cobb County, GA",8th grade or less,4.76
"Cobb County, GA",9th through 12th grade with no diploma,7.43
"Cobb County, GA",High school graduate or GED completed,7.01
"Cobb County, GA","Some college credit, but not a degree",6.97
"Cobb County, GA","Associate degree (AA, AS)",4.59
"Cobb County, GA","Bachelor's degree (BA, AB, BS)",4.74
"Cobb County, GA","Master's degree (MA, MS)",3.84
"Cobb County, GA",Unknown/Not on certificate,13.32
"Cobb County, GA",Excluded,6.9
"DeKalb County, GA",8th grade or less,4.52
"DeKalb County, GA",9th through 12th grade with no diploma,7.55
"DeKalb County, GA",High school graduate or GED completed,8.7
"DeKalb County, GA","Some college credit, but not a degree",6.66
"DeKalb County, GA","Associate degree (AA, AS)",6.91
"DeKalb County, GA","Bachelor's degree (BA, AB, BS)",4.86
"DeKalb County, GA","Master's degree (MA, MS)",3.19
"DeKalb County, GA",Unknown/Not on certificate,15.56
"DeKalb County, GA",Excluded,8.37
"Fulton County, GA",8th grade or less,7.02
"Fulton County, GA",9th through 12th grade with no diploma,9.13
"Fulton County, GA",High school graduate or GED completed,8.26
"Fulton County, GA","Some college credit, but not a degree",8.2
"Fulton County, GA","Associate degree (AA, AS)",6.46
"Fulton County, GA","Bachelor's degree (BA, AB, BS)",4.04
"Fulton County, GA","Master's degree (MA, MS)",4.41
"Fulton County, GA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.65
"Fulton County, GA",Unknown/Not on certificate,10.52
"Fulton County, GA",Excluded,8.59
"Gwinnett County, GA",8th grade or less,4.75
"Gwinnett County, GA",9th through 12th grade with no diploma,6.5
"Gwinnett County, GA",High school graduate or GED completed,5.93
"Gwinnett County, GA","Some college credit, but not a degree",6.01
"Gwinnett County, GA","Associate degree (AA, AS)",5.89
"Gwinnett County, GA","Bachelor's degree (BA, AB, BS)",4.41
"Gwinnett County, GA","Master's degree (MA, MS)",4.57
"Gwinnett County, GA",Unknown/Not on certificate,15.24
"Gwinnett County, GA",Excluded,5.7
"Unidentified Counties, GA",8th grade or less,6.6
"Unidentified Counties, GA",9th through 12th grade with no diploma,9.53
"Unidentified Counties, GA",High school graduate or GED completed,8.34
"Unidentified Counties, GA","Some college credit, but not a degree",6.95
"Unidentified Counties, GA","Associate degree (AA, AS)",5.92
"Unidentified Counties, GA","Bachelor's degree (BA, AB, BS)",4.56
"Unidentified Counties, GA","Master's degree (MA, MS)",4.21
"Unidentified Counties, GA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4.56
"Unidentified Counties, GA",Unknown/Not on certificate,14.16
"Unidentified Counties, GA",Excluded,8.29
"Honolulu County, HI",9th through 12th grade with no diploma,7.48
"Honolulu County, HI",High school graduate or GED completed,5.6
"Honolulu County, HI","Some college credit, but not a degree",5.26
"Honolulu County, HI","Associate degree (AA, AS)",4.26
"Honolulu County, HI","Bachelor's degree (BA, AB, BS)",3.64
"Honolulu County, HI","Master's degree (MA, MS)",3.82
"Honolulu County, HI",Excluded,6.34
"Unidentified Counties, HI",9th through 12th grade with no diploma,12.04
"Unidentified Counties, HI",High school graduate or GED completed,3.69
"Unidentified Counties, HI","Some college credit, but not a degree",4.99
"Unidentified Counties, HI",Excluded,4.96
"Ada County, ID",9th through 12th grade with no diploma,6.85
"Ada County, ID",High school graduate or GED completed,6.7
"Ada County, ID","Some college credit, but not a degree",3.69
"Ada County, ID","Associate degree (AA, AS)",2.92
"Ada County, ID","Bachelor's degree (BA, AB, BS)",3.55
"Ada County, ID","Master's degree (MA, MS)",4.92
"Ada County, ID","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8.2
"Unidentified Counties, ID",8th grade or less,8.65
"Unidentified Counties, ID",9th through 12th grade with no diploma,8.17
"Unidentified Counties, ID",High school graduate or GED completed,5.99
"Unidentified Counties, ID","Some college credit, but not a degree",5.12
"Unidentified Counties, ID","Associate degree (AA, AS)",4.95
"Unidentified Counties, ID","Bachelor's degree (BA, AB, BS)",3.28
"Unidentified Counties, ID","Master's degree (MA, MS)",4.47
"Unidentified Counties, ID",Unknown/Not on certificate,23.56
"Cook County, IL",8th grade or less,6.92
"Cook County, IL",9th through 12th grade with no diploma,8.98
"Cook County, IL",High school graduate or GED completed,8.27
"Cook County, IL","Some college credit, but not a degree",7.5
"Cook County, IL","Associate degree (AA, AS)",6.93
"Cook County, IL","Bachelor's degree (BA, AB, BS)",4.66
"Cook County, IL","Master's degree (MA, MS)",4.05
"Cook County, IL","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.41
"Cook County, IL",Unknown/Not on certificate,18.73
"Cook County, IL",Excluded,7.4
"DuPage County, IL",9th through 12th grade with no diploma,5.83
"DuPage County, IL",High school graduate or GED completed,3.77
"DuPage County, IL","Some college credit, but not a degree",4.3
"DuPage County, IL","Associate degree (AA, AS)",4.45
"DuPage County, IL","Bachelor's degree (BA, AB, BS)",3.72
"DuPage County, IL","Master's degree (MA, MS)",3.59
"DuPage County, IL",Unknown/Not on certificate,20.62
"DuPage County, IL",Excluded,5.59
"Kane County, IL",8th grade or less,5.49
"Kane County, IL",9th through 12th grade with no diploma,8.58
"Kane County, IL",High school graduate or GED completed,6.58
"Kane County, IL","Some college credit, but not a degree",4.79
"Kane County, IL","Associate degree (AA, AS)",4.91
"Kane County, IL","Bachelor's degree (BA, AB, BS)",4.99
"Kane County, IL","Master's degree (MA, MS)",3.69
"Kane County, IL",Excluded,5.71
"Lake County, IL",9th through 12th grade with no diploma,5.59
"Lake County, IL",High school graduate or GED completed,6.37
"Lake County, IL","Some college credit, but not a degree",6.56
"Lake County, IL","Associate degree (AA, AS)",4
"Lake County, IL","Bachelor's degree (BA, AB, BS)",3.09
"Lake County, IL","Master's degree (MA, MS)",2.01
"Lake County, IL",Unknown/Not on certificate,19.8
"Lake County, IL",Excluded,5.36
"McHenry County, IL",High school graduate or GED completed,6.41
"McHenry County, IL","Some college credit, but not a degree",3.51
"McHenry County, IL","Bachelor's degree (BA, AB, BS)",2
"McHenry County, IL",Excluded,4.84
"Madison County, IL",9th through 12th grade with no diploma,10.41
"Madison County, IL",High school graduate or GED completed,5.69
"Madison County, IL","Some college credit, but not a degree",7.31
"Madison County, IL","Associate degree (AA, AS)",5
"Madison County, IL",Excluded,6.47
"St. Clair County, IL",9th through 12th grade with no diploma,14.11
"St. Clair County, IL",High school graduate or GED completed,8.08
"St. Clair County, IL","Some college credit, but not a degree",8.33
"St. Clair County, IL","Bachelor's degree (BA, AB, BS)",4.7
"St. Clair County, IL","Master's degree (MA, MS)",6.96
"St. Clair County, IL",Excluded,7.39
"Will County, IL",9th through 12th grade with no diploma,7.05
"Will County, IL",High school graduate or GED completed,6.93
"Will County, IL","Some college credit, but not a degree",5.69
"Will County, IL","Associate degree (AA, AS)",6.02
"Will County, IL","Bachelor's degree (BA, AB, BS)",4.98
"Will County, IL","Master's degree (MA, MS)",3.04
"Will County, IL",Excluded,7.19
"Winnebago County, IL",9th through 12th grade with no diploma,10.59
"Winnebago County, IL",High school graduate or GED completed,7.1
"Winnebago County, IL","Some college credit, but not a degree",5.01
"Winnebago County, IL",Excluded,7.61
"Unidentified Counties, IL",8th grade or less,6.28
"Unidentified Counties, IL",9th through 12th grade with no diploma,10.51
"Unidentified Counties, IL",High school graduate or GED completed,8.59
"Unidentified Counties, IL","Some college credit, but not a degree",6.38
"Unidentified Counties, IL","Associate degree (AA, AS)",4.81
"Unidentified Counties, IL","Bachelor's degree (BA, AB, BS)",4.63
"Unidentified Counties, IL","Master's degree (MA, MS)",3.82
"Unidentified Counties, IL","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5.48
"Unidentified Counties, IL",Unknown/Not on certificate,19.83
"Unidentified Counties, IL",Excluded,7.09
"Allen County, IN",8th grade or less,5.61
"Allen County, IN",9th through 12th grade with no diploma,11.18
"Allen County, IN",High school graduate or GED completed,9.54
"Allen County, IN","Some college credit, but not a degree",9.89
"Allen County, IN","Associate degree (AA, AS)",7.06
"Allen County, IN","Bachelor's degree (BA, AB, BS)",4.72
"Allen County, IN",Excluded,7.71
"Hamilton County, IN",High school graduate or GED completed,9.48
"Hamilton County, IN","Bachelor's degree (BA, AB, BS)",4.08
"Hamilton County, IN","Master's degree (MA, MS)",5.02
"Lake County, IN",8th grade or less,11.04
"Lake County, IN",9th through 12th grade with no diploma,9.89
"Lake County, IN",High school graduate or GED completed,9.81
"Lake County, IN","Some college credit, but not a degree",7.92
"Lake County, IN","Associate degree (AA, AS)",6.43
"Lake County, IN","Bachelor's degree (BA, AB, BS)",4.68
"Lake County, IN",Unknown/Not on certificate,25.61
"Lake County, IN",Excluded,9.75
"Marion County, IN",8th grade or less,9.14
"Marion County, IN",9th through 12th grade with no diploma,10.41
"Marion County, IN",High school graduate or GED completed,10.31
"Marion County, IN","Some college credit, but not a degree",9.1
"Marion County, IN","Associate degree (AA, AS)",8.03
"Marion County, IN","Bachelor's degree (BA, AB, BS)",5.89
"Marion County, IN","Master's degree (MA, MS)",4.19
"Marion County, IN","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4.66
"Marion County, IN",Unknown/Not on certificate,41.21
"Marion County, IN",Excluded,9.13
"St. Joseph County, IN",9th through 12th grade with no diploma,13.44
"St. Joseph County, IN",High school graduate or GED completed,10.27
"St. Joseph County, IN","Some college credit, but not a degree",7.35
"St. Joseph County, IN","Associate degree (AA, AS)",5.57
"St. Joseph County, IN","Bachelor's degree (BA, AB, BS)",4.53
"St. Joseph County, IN",Unknown/Not on certificate,74.87
"St. Joseph County, IN",Excluded,9.3
"Unidentified Counties, IN",8th grade or less,7.83
"Unidentified Counties, IN",9th through 12th grade with no diploma,9.49
"Unidentified Counties, IN",High school graduate or GED completed,8.44
"Unidentified Counties, IN","Some college credit, but not a degree",5.87
"Unidentified Counties, IN","Associate degree (AA, AS)",4.6
"Unidentified Counties, IN","Bachelor's degree (BA, AB, BS)",4.1
"Unidentified Counties, IN","Master's degree (MA, MS)",4.22
"Unidentified Counties, IN","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.39
"Unidentified Counties, IN",Unknown/Not on certificate,38.04
"Unidentified Counties, IN",Excluded,6.78
"Polk County, IA",8th grade or less,5.25
"Polk County, IA",9th through 12th grade with no diploma,6.17
"Polk County, IA",High school graduate or GED completed,8.33
"Polk County, IA","Some college credit, but not a degree",6.51
"Polk County, IA","Associate degree (AA, AS)",4.69
"Polk County, IA","Bachelor's degree (BA, AB, BS)",4.71
"Polk County, IA","Master's degree (MA, MS)",3.79
"Polk County, IA",Excluded,6.07
"Unidentified Counties, IA",8th grade or less,5.9
"Unidentified Counties, IA",9th through 12th grade with no diploma,8.14
"Unidentified Counties, IA",High school graduate or GED completed,5.98
"Unidentified Counties, IA","Some college credit, but not a degree",4.78
"Unidentified Counties, IA","Associate degree (AA, AS)",3.14
"Unidentified Counties, IA","Bachelor's degree (BA, AB, BS)",3.31
"Unidentified Counties, IA","Master's degree (MA, MS)",2.82
"Unidentified Counties, IA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4.01
"Unidentified Counties, IA",Unknown/Not on certificate,16.67
"Unidentified Counties, IA",Excluded,5.36
"Johnson County, KS",9th through 12th grade with no diploma,9.95
"Johnson County, KS",High school graduate or GED completed,8.87
"Johnson County, KS","Some college credit, but not a degree",4.76
"Johnson County, KS","Associate degree (AA, AS)",4.67
"Johnson County, KS","Bachelor's degree (BA, AB, BS)",3.5
"Johnson County, KS","Master's degree (MA, MS)",3.86
"Johnson County, KS",Unknown/Not on certificate,16.29
"Sedgwick County, KS",8th grade or less,7.87
"Sedgwick County, KS",9th through 12th grade with no diploma,10.36
"Sedgwick County, KS",High school graduate or GED completed,9.42
"Sedgwick County, KS","Some college credit, but not a degree",6.24
"Sedgwick County, KS","Associate degree (AA, AS)",7.73
"Sedgwick County, KS","Bachelor's degree (BA, AB, BS)",4.34
"Sedgwick County, KS","Master's degree (MA, MS)",4.67
"Sedgwick County, KS",Unknown/Not on certificate,43.48
"Unidentified Counties, KS",8th grade or less,7.3
"Unidentified Counties, KS",9th through 12th grade with no diploma,9.93
"Unidentified Counties, KS",High school graduate or GED completed,7.91
"Unidentified Counties, KS","Some college credit, but not a degree",6.33
"Unidentified Counties, KS","Associate degree (AA, AS)",5.28
"Unidentified Counties, KS","Bachelor's degree (BA, AB, BS)",4
"Unidentified Counties, KS","Master's degree (MA, MS)",4.73
"Unidentified Counties, KS","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.74
"Unidentified Counties, KS",Unknown/Not on certificate,17.81
"Fayette County, KY",8th grade or less,5.73
"Fayette County, KY",9th through 12th grade with no diploma,10.2
"Fayette County, KY",High school graduate or GED completed,7.31
"Fayette County, KY","Some college credit, but not a degree",8.89
"Fayette County, KY","Associate degree (AA, AS)",6.18
"Fayette County, KY","Bachelor's degree (BA, AB, BS)",3.25
"Fayette County, KY","Master's degree (MA, MS)",2.43
"Jefferson County, KY",8th grade or less,5.13
"Jefferson County, KY",9th through 12th grade with no diploma,8.33
"Jefferson County, KY",High school graduate or GED completed,9.12
"Jefferson County, KY","Some college credit, but not a degree",6.75
"Jefferson County, KY","Associate degree (AA, AS)",5.18
"Jefferson County, KY","Bachelor's degree (BA, AB, BS)",4.18
"Jefferson County, KY","Master's degree (MA, MS)",2.98
"Jefferson County, KY",Unknown/Not on certificate,17.29
"Unidentified Counties, KY",8th grade or less,8.52
"Unidentified Counties, KY",9th through 12th grade with no diploma,9.51
"Unidentified Counties, KY",High school graduate or GED completed,8.09
"Unidentified Counties, KY","Some college credit, but not a degree",6.55
"Unidentified Counties, KY","Associate degree (AA, AS)",4.67
"Unidentified Counties, KY","Bachelor's degree (BA, AB, BS)",3.99
"Unidentified Counties, KY","Master's degree (MA, MS)",4.29
"Unidentified Counties, KY","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.82
"Unidentified Counties, KY",Unknown/Not on certificate,15.31
"Caddo Parish, LA",9th through 12th grade with no diploma,16.06
"Caddo Parish, LA",High school graduate or GED completed,12.33
"Caddo Parish, LA","Some college credit, but not a degree",12.05
"Caddo Parish, LA","Bachelor's degree (BA, AB, BS)",6.8
"Caddo Parish, LA",Excluded,14.27
"East Baton Rouge Parish, LA",8th grade or less,11.55
"East Baton Rouge Parish, LA",9th through 12th grade with no diploma,16.11
"East Baton Rouge Parish, LA",High school graduate or GED completed,12.44
"East Baton Rouge Parish, LA","Some college credit, but not a degree",13.16
"East Baton Rouge Parish, LA","Associate degree (AA, AS)",6.63
"East Baton Rouge Parish, LA","Bachelor's degree (BA, AB, BS)",6.9
"East Baton Rouge Parish, LA","Master's degree (MA, MS)",10.49
"East Baton Rouge Parish, LA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",12.11
"East Baton Rouge Parish, LA",Excluded,10.32
"Jefferson Parish, LA",9th through 12th grade with no diploma,8.71
"Jefferson Parish, LA",High school graduate or GED completed,7.43
"Jefferson Parish, LA","Some college credit, but not a degree",6.57
"Jefferson Parish, LA","Bachelor's degree (BA, AB, BS)",6.09
"Jefferson Parish, LA",Unknown/Not on certificate,58.82
"Jefferson Parish, LA",Excluded,6.85
"Orleans Parish, LA",9th through 12th grade with no diploma,8.92
"Orleans Parish, LA",High school graduate or GED completed,9.26
"Orleans Parish, LA","Some college credit, but not a degree",6.37
"Orleans Parish, LA","Bachelor's degree (BA, AB, BS)",3.16
"Orleans Parish, LA",Unknown/Not on certificate,59.41
"Orleans Parish, LA",Excluded,8.32
"Unidentified Counties, LA",8th grade or less,7.96
"Unidentified Counties, LA",9th through 12th grade with no diploma,10.42
"Unidentified Counties, LA",High school graduate or GED completed,8.3
"Unidentified Counties, LA","Some college credit, but not a degree",7.21
"Unidentified Counties, LA","Associate degree (AA, AS)",6.33
"Unidentified Counties, LA","Bachelor's degree (BA, AB, BS)",3.87
"Unidentified Counties, LA","Master's degree (MA, MS)",5.02
"Unidentified Counties, LA",Unknown/Not on certificate,18.52
"Unidentified Counties, LA",Excluded,8.08
"Cumberland County, ME",High school graduate or GED completed,7.44
"Cumberland County, ME","Some college credit, but not a degree",8.8
"Cumberland County, ME",Excluded,6
"Unidentified Counties, ME",9th through 12th grade with no diploma,7.49
"Unidentified Counties, ME",High school graduate or GED completed,8.07
"Unidentified Counties, ME","Some college credit, but not a degree",5.79
"Unidentified Counties, ME","Associate degree (AA, AS)",5.66
"Unidentified Counties, ME","Bachelor's degree (BA, AB, BS)",4.98
"Unidentified Counties, ME",Excluded,6.44
"Anne Arundel County, MD",8th grade or less,10.63
"Anne Arundel County, MD",9th through 12th grade with no diploma,6.65
"Anne Arundel County, MD",High school graduate or GED completed,5.29
"Anne Arundel County, MD","Some college credit, but not a degree",6.46
"Anne Arundel County, MD","Associate degree (AA, AS)",6.31
"Anne Arundel County, MD","Bachelor's degree (BA, AB, BS)",3.93
"Anne Arundel County, MD","Master's degree (MA, MS)",4.66
"Anne Arundel County, MD",Unknown/Not on certificate,73.89
"Anne Arundel County, MD",Excluded,5.89
"Baltimore County, MD",9th through 12th grade with no diploma,8.38
"Baltimore County, MD",High school graduate or GED completed,7.45
"Baltimore County, MD","Some college credit, but not a degree",6.76
"Baltimore County, MD","Associate degree (AA, AS)",5.85
"Baltimore County, MD","Bachelor's degree (BA, AB, BS)",4.26
"Baltimore County, MD","Master's degree (MA, MS)",3.4
"Baltimore County, MD",Unknown/Not on certificate,81.87
"Baltimore County, MD",Excluded,7.25
"Howard County, MD","Bachelor's degree (BA, AB, BS)",5.22
"Montgomery County, MD",8th grade or less,5.72
"Montgomery County, MD",9th through 12th grade with no diploma,6.67
"Montgomery County, MD",High school graduate or GED completed,7.24
"Montgomery County, MD","Some college credit, but not a degree",5.8
"Montgomery County, MD","Associate degree (AA, AS)",5.62
"Montgomery County, MD","Bachelor's degree (BA, AB, BS)",3.98
"Montgomery County, MD","Master's degree (MA, MS)",3.62
"Montgomery County, MD","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.61
"Montgomery County, MD",Unknown/Not on certificate,21.07
"Montgomery County, MD",Excluded,5.19
"Prince George's County, MD",8th grade or less,6.04
"Prince George's County, MD",9th through 12th grade with no diploma,9.42
"Prince George's County, MD",High school graduate or GED completed,9.11
"Prince George's County, MD","Some college credit, but not a degree",8.8
"Prince George's County, MD","Associate degree (AA, AS)",6.58
"Prince George's County, MD","Bachelor's degree (BA, AB, BS)",6.46
"Prince George's County, MD","Master's degree (MA, MS)",6.51
"Prince George's County, MD",Unknown/Not on certificate,35.81
"Prince George's County, MD",Excluded,10.17
"Baltimore city, MD",8th grade or less,6.06
"Baltimore city, MD",9th through 12th grade with no diploma,9.56
"Baltimore city, MD",High school graduate or GED completed,12.89
"Baltimore city, MD","Some college credit, but not a degree",7.78
"Baltimore city, MD","Associate degree (AA, AS)",9.96
"Baltimore city, MD","Bachelor's degree (BA, AB, BS)",5.52
"Baltimore city, MD","Master's degree (MA, MS)",4.73
"Baltimore city, MD",Unknown/Not on certificate,145.39
"Baltimore city, MD",Excluded,12.25
"Unidentified Counties, MD",8th grade or less,3.57
"Unidentified Counties, MD",9th through 12th grade with no diploma,8.76
"Unidentified Counties, MD",High school graduate or GED completed,7.98
"Unidentified Counties, MD","Some college credit, but not a degree",5.96
"Unidentified Counties, MD","Associate degree (AA, AS)",4.23
"Unidentified Counties, MD","Bachelor's degree (BA, AB, BS)",3.99
"Unidentified Counties, MD","Master's degree (MA, MS)",2.85
"Unidentified Counties, MD","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4.33
"Unidentified Counties, MD",Unknown/Not on certificate,38.02
"Unidentified Counties, MD",Excluded,6.12
"Bristol County, MA",9th through 12th grade with no diploma,5.3
"Bristol County, MA",High school graduate or GED completed,4.26
"Bristol County, MA","Some college credit, but not a degree",2.78
"Bristol County, MA","Bachelor's degree (BA, AB, BS)",2.88
"Bristol County, MA",Unknown/Not on certificate,16.19
"Bristol County, MA",Excluded,5.37
"Essex County, MA",9th through 12th grade with no diploma,6.77
"Essex County, MA",High school graduate or GED completed,6.14
"Essex County, MA","Some college credit, but not a degree",3.84
"Essex County, MA","Associate degree (AA, AS)",4.77
"Essex County, MA","Bachelor's degree (BA, AB, BS)",1.92
"Essex County, MA",Unknown/Not on certificate,9.61
"Essex County, MA",Excluded,4.52
"Hampden County, MA",9th through 12th grade with no diploma,7.64
"Hampden County, MA",High school graduate or GED completed,7.9
"Hampden County, MA","Some college credit, but not a degree",3.17
"Hampden County, MA",Excluded,6.09
"Middlesex County, MA",9th through 12th grade with no diploma,6.14
"Middlesex County, MA",High school graduate or GED completed,4.65
"Middlesex County, MA","Some college credit, but not a degree",3.89
"Middlesex County, MA","Associate degree (AA, AS)",4.22
"Middlesex County, MA","Bachelor's degree (BA, AB, BS)",2.18
"Middlesex County, MA","Master's degree (MA, MS)",2.08
"Middlesex County, MA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1.96
"Middlesex County, MA",Unknown/Not on certificate,15.31
"Middlesex County, MA",Excluded,3.66
"Norfolk County, MA",High school graduate or GED completed,4.22
"Norfolk County, MA","Some college credit, but not a degree",4.62
"Norfolk County, MA","Associate degree (AA, AS)",6.44
"Norfolk County, MA","Bachelor's degree (BA, AB, BS)",2.96
"Norfolk County, MA","Master's degree (MA, MS)",1.55
"Norfolk County, MA",Excluded,3.61
"Plymouth County, MA",High school graduate or GED completed,3.43
"Plymouth County, MA","Some college credit, but not a degree",2.4
"Plymouth County, MA","Bachelor's degree (BA, AB, BS)",2.32
"Plymouth County, MA",Excluded,4.84
"Suffolk County, MA",9th through 12th grade with no diploma,7.06
"Suffolk County, MA",High school graduate or GED completed,7.35
"Suffolk County, MA","Some college credit, but not a degree",5.8
"Suffolk County, MA","Bachelor's degree (BA, AB, BS)",3.11
"Suffolk County, MA",Unknown/Not on certificate,19.49
"Suffolk County, MA",Excluded,5.3
"Worcester County, MA",9th through 12th grade with no diploma,8.79
"Worcester County, MA",High school graduate or GED completed,6.23
"Worcester County, MA","Some college credit, but not a degree",5.77
"Worcester County, MA","Associate degree (AA, AS)",4.17
"Worcester County, MA","Bachelor's degree (BA, AB, BS)",5.33
"Worcester County, MA","Master's degree (MA, MS)",3.62
"Worcester County, MA",Excluded,5.5
"Unidentified Counties, MA",9th through 12th grade with no diploma,9.24
"Unidentified Counties, MA",High school graduate or GED completed,5.39
"Unidentified Counties, MA","Some college credit, but not a degree",4.56
"Unidentified Counties, MA","Bachelor's degree (BA, AB, BS)",2.5
"Unidentified Counties, MA",Excluded,4.62
"Genesee County, MI",9th through 12th grade with no diploma,13.26
"Genesee County, MI",High school graduate or GED completed,8.35
"Genesee County, MI","Some college credit, but not a degree",8.76
"Genesee County, MI","Associate degree (AA, AS)",5.03
"Genesee County, MI","Bachelor's degree (BA, AB, BS)",3.31
"Genesee County, MI","Master's degree (MA, MS)",5.51
"Genesee County, MI",Excluded,8.87
"Ingham County, MI",9th through 12th grade with no diploma,6.33
"Ingham County, MI",High school graduate or GED completed,9.55
"Ingham County, MI","Some college credit, but not a degree",6.67
"Ingham County, MI","Associate degree (AA, AS)",6.64
"Ingham County, MI","Bachelor's degree (BA, AB, BS)",3.46
"Ingham County, MI",Excluded,7.89
"Kalamazoo County, MI",9th through 12th grade with no diploma,12.2
"Kalamazoo County, MI",High school graduate or GED completed,5.27
"Kalamazoo County, MI","Some college credit, but not a degree",6.35
"Kent County, MI",8th grade or less,6.07
"Kent County, MI",9th through 12th grade with no diploma,8.31
"Kent County, MI",High school graduate or GED completed,8.02
"Kent County, MI","Some college credit, but not a degree",6.6
"Kent County, MI","Associate degree (AA, AS)",3.72
"Kent County, MI","Bachelor's degree (BA, AB, BS)",4.06
"Kent County, MI","Master's degree (MA, MS)",3.12
"Kent County, MI",Excluded,6.94
"Macomb County, MI",9th through 12th grade with no diploma,9.54
"Macomb County, MI",High school graduate or GED completed,6.36
"Macomb County, MI","Some college credit, but not a degree",6.09
"Macomb County, MI","Associate degree (AA, AS)",4.38
"Macomb County, MI","Bachelor's degree (BA, AB, BS)",4.7
"Macomb County, MI","Master's degree (MA, MS)",3.78
"Macomb County, MI",Unknown/Not on certificate,21.24
"Macomb County, MI",Excluded,6.62
"Oakland County, MI",8th grade or less,6.88
"Oakland County, MI",9th through 12th grade with no diploma,9.75
"Oakland County, MI",High school graduate or GED completed,9.55
"Oakland County, MI","Some college credit, but not a degree",7.58
"Oakland County, MI","Associate degree (AA, AS)",3.85
"Oakland County, MI","Bachelor's degree (BA, AB, BS)",3.75
"Oakland County, MI","Master's degree (MA, MS)",3.49
"Oakland County, MI","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4.41
"Oakland County, MI",Unknown/Not on certificate,39.09
"Oakland County, MI",Excluded,6.29
"Ottawa County, MI",High school graduate or GED completed,4.78
"Ottawa County, MI","Some college credit, but not a degree",7.03
"Washtenaw County, MI",9th through 12th grade with no diploma,9.96
"Washtenaw County, MI",High school graduate or GED completed,9.32
"Washtenaw County, MI","Some college credit, but not a degree",6.38
"Washtenaw County, MI","Bachelor's degree (BA, AB, BS)",4.01
"Washtenaw County, MI","Master's degree (MA, MS)",3.12
"Washtenaw County, MI",Unknown/Not on certificate,18.15
"Washtenaw County, MI",Excluded,4.99
"Wayne County, MI",8th grade or less,6.62
"Wayne County, MI",9th through 12th grade with no diploma,12.98
"Wayne County, MI",High school graduate or GED completed,10.47
"Wayne County, MI","Some college credit, but not a degree",9.5
"Wayne County, MI","Associate degree (AA, AS)",5.55
"Wayne County, MI","Bachelor's degree (BA, AB, BS)",4.36
"Wayne County, MI","Master's degree (MA, MS)",3.84
"Wayne County, MI",Unknown/Not on certificate,38.76
"Wayne County, MI",Excluded,10.59
"Unidentified Counties, MI",8th grade or less,7.21
"Unidentified Counties, MI",9th through 12th grade with no diploma,10.61
"Unidentified Counties, MI",High school graduate or GED completed,7.36
"Unidentified Counties, MI","Some college credit, but not a degree",5.31
"Unidentified Counties, MI","Associate degree (AA, AS)",4.25
