County,Education,Death Rate
"Monterey County, CA",9th through 12th grade with no diploma,4.97
"Monterey County, CA",High school graduate or GED completed,5.14
"Monterey County, CA","Some college credit, but not a degree",3.96
"Monterey County, CA","Associate degree (AA, AS)",3.94
"Monterey County, CA","Bachelor's degree (BA, AB, BS)",3.32
"Monterey County, CA","Master's degree (MA, MS)",5.2
"Monterey County, CA",Unknown/Not on certificate,39.45
"Orange County, CA",8th grade or less,5.24
"Orange County, CA",9th through 12th grade with no diploma,4.85
"Orange County, CA",High school graduate or GED completed,4.06
"Orange County, CA","Some college credit, but not a degree",3.65
"Orange County, CA","Associate degree (AA, AS)",2.55
"Orange County, CA","Bachelor's degree (BA, AB, BS)",2.8
"Orange County, CA","Master's degree (MA, MS)",2.49
"Orange County, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2.52
"Orange County, CA",Unknown/Not on certificate,8.63
"Placer County, CA",High school graduate or GED completed,5.62
"Placer County, CA","Bachelor's degree (BA, AB, BS)",3.29
"Riverside County, CA",8th grade or less,5.67
"Riverside County, CA",9th through 12th grade with no diploma,5.96
"Riverside County, CA",High school graduate or GED completed,4.8
"Riverside County, CA","Some college credit, but not a degree",4.77
"Riverside County, CA","Associate degree (AA, AS)",4
"Riverside County, CA","Bachelor's degree (BA, AB, BS)",3.22
"Riverside County, CA","Master's degree (MA, MS)",2.75
"Riverside County, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7.11
"Riverside County, CA",Unknown/Not on certificate,13.27
"Sacramento County, CA",8th grade or less,5.83
"Sacramento County, CA",9th through 12th grade with no diploma,7.37
"Sacramento County, CA",High school graduate or GED completed,5.47
"Sacramento County, CA","Some college credit, but not a degree",5.34
"Sacramento County, CA","Associate degree (AA, AS)",3.85
"Sacramento County, CA","Bachelor's degree (BA, AB, BS)",3.8
"Sacramento County, CA","Master's degree (MA, MS)",3.01
"Sacramento County, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.39
"Sacramento County, CA",Unknown/Not on certificate,10.9
"San Bernardino County, CA",8th grade or less,6.79
"San Bernardino County, CA",9th through 12th grade with no diploma,6.63
