County,Death Rate
"Lane County, OR",3.94
"Marion County, OR",4.63
"Multnomah County, OR",4.96
"Washington County, OR",3.44
"Allegheny County, PA",5.85
"Berks County, PA",6.48
"Bucks County, PA",2.85
"Chester County, PA",5.07
"Dauphin County, PA",7.56
"Delaware County, PA",6.84
"Erie County, PA",6.85
"Lancaster County, PA",5.86
"Lehigh County, PA",6.58
"Luzerne County, PA",6.58
"Montgomery County, PA",4.83
"Northampton County, PA",3.89
"Philadelphia County, PA",8.32
"Westmoreland County, PA",6.81
"York County, PA",6.63
"Unidentified Counties, PA",5.71
"Providence County, RI",6.6
"Unidentified Counties, RI",3.41
"Charleston County, SC",5.18
"Greenville County, SC",5.24
"Horry County, SC",8.98
"Lexington County, SC",7.05
"Richland County, SC",7.9
"Spartanburg County, SC",4.88
"Unidentified Counties, SC",7.58
"Unidentified Counties, SD",4.89
"Davidson County, TN",7.28
"Hamilton County, TN",7.92
"Knox County, TN",5.69
"Rutherford County, TN",7.02
"Shelby County, TN",9.22
"Unidentified Counties, TN",6.95
"Bell County, TX",6.68
"Bexar County, TX",6.36
"Brazoria County, TX",4.58
"Cameron County, TX",5.37
"Collin County, TX",4.33
"Dallas County, TX",5.75
"Denton County, TX",4.71
"El Paso County, TX",4.13
"Fort Bend County, TX",5.11
"Galveston County, TX",5.76
"Harris County, TX",5.98
"Hidalgo County, TX",4.74
"Jefferson County, TX",10.06
"Lubbock County, TX",6.32
"Montgomery County, TX",6.4
"Nueces County, TX",5.91
"Tarrant County, TX",6.23
"Travis County, TX",3.75
"Webb County, TX",4.05
"Williamson County, TX",5.97
"Unidentified Counties, TX",6.03
"Davis County, UT",3.69
"Salt Lake County, UT",5.56
"Utah County, UT",6.68
"Unidentified Counties, UT",4.87
"Unidentified Counties, VT",3.47
"Chesterfield County, VA",6.44
"Fairfax County, VA",3.99
"Henrico County, VA",7.17
"Loudoun County, VA",3.94
"Prince William County, VA",3.65
"Virginia Beach city, VA",5.4
"Unidentified Counties, VA",6.59
"Clark County, WA",4.59
"King County, WA",3.8
"Pierce County, WA",4.08
"Snohomish County, WA",4.98
"Spokane County, WA",3.58
"Thurston County, WA",4.68
"Unidentified Counties, WA",4.93
"Unidentified Counties, WV",7.23
"Dane County, WI",6.61
"Milwaukee County, WI",7.69
"Waukesha County, WI",2.99
"Unidentified Counties, WI",6.13
"Unidentified Counties, WY",5.01
